train_loss,train_acc,test_loss,test_acc,seconds,num_participant_points,e,d,nm,norm
0.0,0.0,0.0,0.0,0.0,0,"{""0"": 0.0, ""42000"": 0.0, ""54000"": 0.0}",1e-05,5.0,5.0
2.3098,0.0958,2.2819,0.1253,1.6706,17301,"{""0"": 0.17532566229549082, ""42000"": 0.35486903468212566, ""54000"": 0.7174871887769432}",1e-05,5.0,5.0
2.2827,0.1265,2.2602,0.1746,1.6295,17198,"{""0"": 0.23145457084269705, ""42000"": 0.48310842490168954, ""54000"": 1.034431928778072}",1e-05,5.0,5.0
2.2622,0.1716,2.2356,0.2962,1.5874,17194,"{""0"": 0.27604858479043254, ""42000"": 0.5834439885181528, ""54000"": 1.2839177888950901}",1e-05,5.0,5.0
2.236,0.2811,2.2018,0.39,1.5624,17024,"{""0"": 0.31446600331844704, ""42000"": 0.669331803145876, ""54000"": 1.4988140262779952}",1e-05,5.0,5.0
2.2045,0.3903,2.1628,0.1881,1.6521,17314,"{""0"": 0.3484850694458355, ""42000"": 0.7460882883281565, ""54000"": 1.6908879492613142}",1e-05,5.0,5.0
2.1667,0.1855,2.1257,0.3963,1.6479,17367,"{""0"": 0.3797618362152588, ""42000"": 0.8152131637931853, ""54000"": 1.865826971231005}",1e-05,5.0,5.0
2.129,0.395,2.3324,0.2599,1.648,17348,"{""0"": 0.40803916088888187, ""42000"": 0.8796040044828479, ""54000"": 2.027000383283316}",1e-05,5.0,5.0
2.3252,0.2613,2.1913,0.3331,1.6988,17435,"{""0"": 0.43493727285800243, ""42000"": 0.940141279853979, ""54000"": 2.1829206399807104}",1e-05,5.0,5.0
2.1921,0.3364,2.0597,0.3308,1.61,17472,"{""0"": 0.46061961169369714, ""42000"": 0.99742676661814, ""54000"": 2.3249507730660657}",1e-05,5.0,5.0
2.0651,0.3295,1.7701,0.4878,1.5919,17190,"{""0"": 0.484486989679919, ""42000"": 1.053998088954091, ""54000"": 2.466980906151421}",1e-05,5.0,5.0
1.7807,0.4864,1.7086,0.4718,1.5871,17242,"{""0"": 0.5077096003522601, ""42000"": 1.1034052188277095, ""54000"": 2.5973642710992277}",1e-05,5.0,5.0
1.7054,0.4742,1.8077,0.4831,1.6556,17313,"{""0"": 0.5296266530368716, ""42000"": 1.1528123487013278, ""54000"": 2.7231147350313814}",1e-05,5.0,5.0
1.8038,0.4831,1.6097,0.4672,1.6367,17177,"{""0"": 0.5513871528281583, ""42000"": 1.2013140240040705, ""54000"": 2.8488651989635354}",1e-05,5.0,5.0
1.6073,0.4672,1.6429,0.4699,1.6642,17292,"{""0"": 0.5714190535130421, ""42000"": 1.2469153128484274, ""54000"": 2.9746156628956895}",1e-05,5.0,5.0
1.6202,0.4818,2.0835,0.3324,1.5924,17318,"{""0"": 0.5914504620616706, ""42000"": 1.2925166016927843, ""54000"": 3.0842080440396304}",1e-05,5.0,5.0
2.0688,0.3344,1.4328,0.6462,1.5915,17389,"{""0"": 0.6105629323890712, ""42000"": 1.3357032520736087, ""54000"": 3.193798455453924}",1e-05,5.0,5.0
1.4234,0.652,1.2127,0.5824,1.5786,17265,"{""0"": 0.6296754027164718, ""42000"": 1.3775833323311975, ""54000"": 3.3033888668682176}",1e-05,5.0,5.0
